R,wn
1,3
2,2
3,3
4,3
5,3
6,3
7,5
8,3
9,3
10,2
11,2
12,3
13,2
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,2
25,3
26,3
27,3
28,3
29,5
30,3
31,3
32,3
33,3
34,3
35,2
36,2
37,5
38,2
39,3
40,3
41,3
42,2
43,3
44,3
45,5
46,3
47,3
48,3
49,3
50,3
51,2
52,2
53,3
54,3
55,3
56,3
57,2
58,3
59,3
60,3
61,3
62,5
63,2
64,3
65,3
66,3
67,3
68,2
69,5
70,5
71,2
72,3
73,2
74,3
75,3
76,2
77,3
78,3
79,2
80,2
81,3
82,3
83,2
84,3
85,3
86,3
87,3
88,5
89,5
90,3
91,3
92,5
93,3
94,3
95,3
96,3
97,3
98,5
99,2
100,3
101,2
102,3
103,3
104,3
105,2
106,3
107,3
108,3
109,3
110,3
111,2
112,3
113,3
114,3
115,3
116,3
117,5
118,3
119,3
120,2
121,3
122,3
123,3
124,2
125,3
126,5
127,3
128,5
129,1
130,2
131,5
132,3
133,3
134,3
135,3
136,2
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,2
149,3
150,3
