R,shop
1,6
2,2
3,2
4,3
5,4
6,4
7,4
8,11
9,3
10,11
11,6
12,2
13,11
14,4
15,3
16,6
17,11
18,4
19,4
20,11
21,4
22,2
23,6
24,6
25,11
26,4
27,2
28,2
29,4
30,3
31,6
32,6
33,3
34,2
35,3
36,3
37,4
38,4
39,3
40,3
41,4
42,4
43,11
44,11
45,3
46,11
47,2
48,3
49,4
50,3
51,1
52,4
53,11
54,3
55,3
56,11
57,3
58,3
59,4
60,4
61,4
62,3
63,4
64,4
65,11
66,6
67,4
68,6
69,4
70,2
71,3
72,3
73,6
74,11
75,3
76,4
77,4
78,11
79,4
80,4
81,4
82,3
83,11
84,11
85,5
86,4
87,11
88,2
89,4
90,4
91,3
92,11
93,11
94,11
95,3
96,11
97,11
98,4
99,4
100,4
101,3
102,2
103,11
104,6
105,2
106,5
107,4
108,11
109,11
110,4
111,3
112,11
113,3
114,2
115,5
116,2
117,11
118,3
119,11
120,2
121,2
122,4
123,11
124,4
125,4
126,4
127,4
128,11
129,3
130,2
131,11
132,4
133,11
134,11
135,4
136,6
137,4
138,11
139,11
140,2
141,2
142,11
143,3
144,11
145,2
146,3
147,11
148,2
149,4
150,2
151,4
152,6
153,6
154,6
155,6
156,11
157,2
158,3
159,2
160,2
161,11
162,2
163,4
164,2
165,3
166,3
167,3
168,2
169,11
170,6
171,4
172,3
173,2
174,3
175,3
176,2
177,11
178,11
179,3
180,3
181,2
182,3
183,2
184,6
185,6
186,6
187,6
188,6
189,3
190,6
191,6
192,2
193,4
194,11
195,2
196,3
197,11
198,2
199,3
200,6
201,3
202,2
203,4
204,6
205,2
206,2
207,6
208,6
209,6
210,6
211,11
212,11
213,3
214,4
215,2
216,6
217,6
218,3
219,4
220,3
221,6
222,2
223,2
224,2
225,4
226,6
227,6
228,6
229,11
230,3
231,6
232,11
233,6
234,6
235,2
236,4
237,11
238,6
239,3
240,2
241,2
242,6
243,6
244,2
245,6
246,2
247,2
248,2
249,3
250,6
251,2
252,2
253,2
254,6
255,6
256,11
257,4
258,2
259,11
260,11
261,6
262,2
263,6
264,3
265,11
266,11
267,3
268,4
269,2
270,3
271,6
272,3
273,4
274,6
275,6
276,6
277,2
278,3
279,11
280,6
281,2
282,3
283,3
284,6
285,6
286,4
287,4
288,6
289,2
