R,L
1,1
1,3
1,6
1,9
1,110
1,364
2,2
2,238
2,498
3,3
3,1
4,4
4,5
4,6
4,54
4,12
4,56
4,57
4,61
4,46
4,77
4,78
4,81
4,85
4,89
4,93
4,94
4,47
4,29
4,97
4,98
4,107
4,38
4,108
4,14
4,110
4,111
4,41
4,31
4,35
4,190
4,20
4,40
4,26
4,196
4,27
4,246
4,34
4,25
4,114
4,313
4,216
4,336
4,74
4,13
4,43
4,266
4,337
4,209
4,122
4,341
4,180
4,352
4,302
4,186
4,226
4,73
4,453
4,347
4,223
4,137
4,37
4,16
4,243
4,136
4,264
4,449
4,205
4,361
4,32
4,203
4,304
4,211
5,5
5,4
5,6
5,16
5,12
5,24
5,26
5,27
5,54
5,57
5,81
5,47
5,137
5,104
5,34
5,77
5,114
5,313
5,38
5,196
5,37
5,35
5,41
5,336
5,64
5,13
5,205
5,40
5,29
5,136
5,73
5,203
5,186
5,226
5,264
5,223
5,180
5,144
5,209
5,190
5,463
5,110
5,20
5,19
5,449
5,453
6,6
6,1
6,4
6,5
6,9
6,54
6,70
6,14
6,12
6,73
6,57
6,74
6,78
6,56
6,41
6,13
6,37
6,376
6,142
6,107
6,109
6,81
6,493
6,489
6,136
6,31
6,110
6,111
6,102
6,104
6,464
6,77
6,197
6,38
6,449
6,190
6,121
6,181
7,7
8,8
8,371
9,9
9,1
9,6
9,81
9,388
10,10
10,339
10,33
11,11
11,317
12,12
12,13
12,14
12,16
12,19
12,20
12,5
12,24
12,25
12,26
12,27
12,29
12,31
12,32
12,34
12,35
12,37
12,38
12,40
12,41
12,43
12,47
12,49
12,50
12,53
12,54
12,4
12,57
12,6
12,73
12,74
12,110
12,114
12,121
12,136
12,137
12,98
12,93
12,186
12,104
12,77
12,246
12,266
12,89
12,272
12,299
12,200
12,301
12,281
12,303
12,341
12,180
12,361
12,196
12,94
12,336
12,64
12,205
12,337
12,226
12,102
12,463
12,203
12,223
12,190
12,81
12,449
12,264
13,13
13,12
13,14
13,20
13,122
13,43
13,35
13,74
13,57
13,31
13,110
13,272
13,76
13,246
13,54
13,104
13,336
13,4
13,29
13,266
13,337
13,341
13,40
13,5
13,107
13,205
13,190
13,223
13,37
13,36
13,196
13,6
13,136
13,73
13,81
13,41
13,34
13,23
13,38
13,77
13,111
13,464
13,238
13,264
13,78
13,489
13,70
13,449
13,203
13,46
14,14
14,12
14,13
14,16
14,19
14,20
14,54
14,6
14,74
14,38
14,108
14,78
14,4
14,109
14,41
14,35
14,27
14,114
14,121
14,186
14,137
14,24
14,61
14,81
14,180
14,32
14,104
14,47
14,26
14,37
14,200
14,102
14,34
14,340
14,463
14,58
14,136
14,29
14,196
14,205
14,243
14,94
14,272
14,223
14,85
14,336
14,77
14,25
14,303
14,209
14,190
14,246
14,299
14,304
14,226
14,76
14,464
15,15
15,246
15,209
15,46
15,227
15,441
15,206
15,325
15,311
16,16
16,12
16,14
16,19
16,20
16,5
16,24
16,26
16,27
16,47
16,49
16,50
16,53
16,64
16,54
16,29
16,224
16,114
16,130
16,35
16,40
16,93
16,223
16,31
16,281
16,98
16,4
16,303
16,301
16,186
16,313
16,307
16,361
16,196
17,17
17,18
18,18
18,17
18,200
18,114
18,301
18,281
18,446
18,53
19,19
19,12
19,14
19,16
19,20
19,35
19,27
19,29
19,47
19,49
19,50
19,52
19,53
19,314
19,224
19,114
19,353
19,421
19,186
19,64
19,303
19,301
19,200
19,360
19,5
19,187
20,20
20,12
20,13
20,14
20,16
20,19
20,29
20,26
20,136
20,137
20,142
20,98
20,190
20,4
20,35
20,196
20,32
20,104
20,216
20,266
20,267
20,89
20,74
20,57
20,31
20,47
20,114
20,53
20,43
20,337
20,347
20,223
20,34
20,24
20,200
20,70
20,264
20,38
20,122
20,41
20,243
20,463
20,352
20,93
20,78
20,108
20,94
20,64
20,25
20,180
20,361
20,5
20,341
21,21
21,24
21,37
21,102
21,180
21,228
21,364
21,73
21,223
21,202
21,264
21,79
22,22
22,26
22,98
22,172
22,174
23,23
23,41
23,409
23,410
23,122
23,347
23,43
23,447
23,35
23,203
23,449
23,335
23,414
23,341
23,13
23,36
23,479
23,37
23,38
23,266
23,40
23,126
23,337
23,416
23,236
23,151
23,46
24,24
24,16
24,5
24,12
24,21
24,27
24,38
24,41
24,212
24,81
24,14
24,180
24,340
24,210
24,114
24,281
24,20
24,34
24,31
24,64
24,57
24,73
24,264
24,223
24,197
24,449
24,313
24,226
24,225
24,51
24,489
24,361
24,453
24,78
24,110
24,70
24,441
24,132
24,186
24,238
25,25
25,12
25,246
25,4
25,34
25,78
25,313
25,70
25,85
25,56
25,41
25,14
25,104
25,61
25,108
25,243
25,340
25,209
25,190
25,54
25,196
25,81
25,20
25,31
25,449
25,89
25,73
25,137
25,136
25,38
25,226
25,336
25,46
25,264
25,180
25,57
26,26
26,16
26,5
26,12
26,22
26,20
26,136
26,137
26,98
26,158
26,29
26,89
26,93
26,40
26,4
26,35
26,195
26,196
26,234
26,14
26,47
26,94
26,290
26,153
26,352
26,104
26,368
26,223
