R,aa
1,5
2,3
3,3
4,3
5,3
6,5
7,5
8,5
9,3
10,2
11,2
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,2
22,3
23,3
24,5
25,3
26,3
27,3
28,3
29,5
30,3
31,3
32,3
33,3
34,3
35,2
36,2
37,2
38,2
39,3
40,2
41,2
42,2
43,3
44,3
45,2
46,3
47,3
48,3
49,3
50,3
51,3
52,2
53,3
54,3
55,3
56,3
57,2
58,2
59,3
60,3
61,3
62,5
63,5
64,3
65,3
66,3
67,2
68,3
69,5
70,5
71,3
72,3
73,2
74,3
75,3
76,5
77,1
78,3
79,3
80,2
81,3
82,3
83,2
84,3
85,3
86,3
87,3
88,2
89,5
90,3
91,2
92,2
93,3
94,3
95,3
96,3
97,2
98,5
99,3
100,3
101,2
102,3
103,3
104,3
105,5
106,3
107,3
108,3
109,3
110,3
111,2
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,2
121,3
122,3
123,3
124,2
125,3
126,2
127,3
128,5
129,3
130,3
131,2
132,3
133,3
134,2
135,3
136,2
137,3
138,5
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,2
149,3
150,3
151,3
152,2
153,3
154,5
155,3
156,3
157,3
158,3
159,2
160,3
161,3
162,3
163,3
164,3
165,5
166,3
167,5
168,2
169,3
170,3
171,3
172,3
173,5
174,3
175,5
176,3
177,3
178,3
179,3
180,2
181,3
182,3
183,3
184,3
185,2
186,3
187,2
188,5
189,3
190,3
191,2
192,3
193,2
194,3
195,3
196,3
197,3
198,5
199,3
200,2
201,5
202,3
203,3
204,2
205,3
206,5
207,3
208,3
209,3
210,3
211,5
212,2
213,3
214,3
215,3
216,2
217,3
218,3
219,3
220,2
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,2
230,3
231,3
232,3
233,3
234,5
235,3
236,3
237,3
238,2
239,2
240,3
241,3
242,2
243,3
244,5
245,3
246,3
247,3
248,2
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,2
266,3
267,3
268,3
269,3
270,3
271,3
272,2
273,2
274,5
275,2
276,3
277,3
278,3
279,3
280,3
281,3
282,2
283,3
284,3
285,3
286,3
287,3
288,3
289,2
290,3
291,3
292,3
293,2
294,2
295,3
296,2
297,3
298,3
299,3
300,3
301,3
302,3
303,2
304,5
305,5
306,2
307,2
308,3
309,2
310,3
311,2
312,5
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,5
322,2
