R,arts
1,9
2,5
3,5
4,9
5,5
6,2
7,2
8,5
9,3
10,9
11,5
12,3
13,5
14,2
15,2
16,2
17,5
18,5
19,3
20,9
21,9
22,3
23,2
24,4
25,3
26,4
27,5
28,5
29,2
30,5
31,5
32,2
33,5
34,5
35,3
36,4
37,2
38,4
39,2
40,9
41,4
42,2
43,9
44,9
45,2
46,2
47,9
48,9
49,5
50,9
51,5
52,5
53,9
54,2
55,3
56,2
57,3
58,9
59,2
60,3
61,9
62,3
63,3
64,5
65,3
66,3
67,2
68,5
69,9
70,4
71,3
72,3
73,2
74,2
75,2
76,1
77,2
78,9
79,2
80,5
81,5
82,4
83,4
84,2
85,2
86,5
87,4
88,9
89,9
90,4
91,3
92,2
93,2
94,9
95,3
96,3
97,4
98,9
99,5
100,5
101,9
102,5
103,9
104,9
105,9
106,3
107,3
108,9
109,2
110,2
111,3
112,2
113,2
114,3
115,3
116,3
117,5
118,5
119,5
120,5
121,3
122,3
123,9
124,2
125,2
126,3
127,2
128,9
129,2
130,2
131,9
132,4
133,4
134,3
135,5
136,5
137,5
138,3
139,9
140,3
141,9
142,2
143,9
144,3
145,3
146,4
147,2
148,2
149,2
150,2
151,9
152,5
153,5
154,5
155,5
156,9
157,4
158,3
159,9
160,9
161,3
162,3
163,5
164,4
165,9
166,5
167,2
168,3
169,9
170,5
171,5
172,5
173,5
174,9
175,9
176,2
177,9
178,3
179,5
180,4
181,2
182,3
183,4
184,2
185,2
186,5
187,5
188,2
189,3
190,5
191,5
192,2
193,9
194,3
195,9
196,2
197,9
198,9
199,3
200,5
201,2
202,9
203,5
204,5
205,2
206,9
207,5
208,5
209,9
210,5
211,5
212,4
213,3
214,3
215,3
216,3
217,9
218,5
219,9
220,5
221,5
222,5
223,9
224,5
225,5
226,2
227,3
228,5
229,5
230,3
231,5
232,5
233,5
234,5
235,5
236,5
237,3
238,5
239,5
240,5
241,5
242,5
243,5
244,3
245,9
246,2
247,5
248,2
249,5
250,2
251,9
252,5
253,9
254,9
255,5
256,5
257,5
258,5
259,5
260,3
261,5
262,9
263,5
264,4
265,3
266,3
267,3
268,5
269,5
270,3
271,5
272,5
273,5
274,5
275,5
276,2
277,5
278,5
279,9
280,2
281,3
282,5
283,3
284,2
285,9
286,9
287,5
288,5
289,3
