R,travel
1,3
2,6
3,5
4,4
5,3
6,3
7,11
8,4
9,11
10,4
11,2
12,4
13,2
14,11
15,11
16,3
17,3
18,6
19,4
20,3
21,3
22,4
23,11
24,2
25,11
26,11
27,4
28,4
29,2
30,4
31,3
32,2
33,11
34,3
35,3
36,3
37,2
38,2
39,11
40,2
41,2
42,3
43,2
44,2
45,3
46,6
47,3
48,4
49,11
50,11
51,6
52,4
53,2
54,11
55,11
56,4
57,3
58,3
59,2
60,2
61,11
62,11
63,2
64,4
65,3
66,3
67,3
68,2
69,3
70,4
71,3
72,3
73,4
74,3
75,11
76,3
77,11
78,3
79,11
80,11
81,2
82,11
83,2
84,2
85,3
86,6
87,3
88,4
89,2
90,1
91,3
92,4
93,11
94,11
95,11
96,11
97,3
98,4
99,4
100,2
101,2
102,6
103,11
104,4
105,4
106,3
107,2
108,3
109,11
110,3
111,4
112,11
113,4
114,4
115,4
116,4
117,11
118,6
119,3
120,2
121,4
122,2
123,2
124,3
125,5
126,2
127,2
128,4
129,4
130,4
131,3
132,4
133,2
134,4
135,2
136,3
137,2
138,2
139,3
140,3
141,4
142,6
143,11
144,3
145,4
146,4
147,4
148,5
149,6
150,11
151,2
152,2
153,3
154,6
155,2
156,2
157,3
158,3
159,4
160,4
161,11
162,11
163,2
164,4
165,11
166,4
167,4
168,3
169,3
170,3
171,2
172,2
173,4
174,2
175,4
176,6
177,11
178,11
179,4
180,11
181,5
182,11
183,4
184,11
185,6
186,6
187,2
188,6
189,2
190,3
191,6
192,4
193,11
194,3
195,11
196,11
197,6
198,4
199,11
200,2
201,6
202,4
203,6
204,6
205,6
206,11
207,6
208,11
209,6
210,6
211,3
212,11
213,3
214,4
215,5
216,4
217,6
218,6
219,3
220,11
221,6
222,3
223,4
224,6
225,2
226,6
227,6
228,2
229,4
230,4
231,2
232,2
233,6
234,6
235,4
236,3
237,2
238,6
239,2
240,11
241,6
242,6
243,6
244,6
245,11
246,4
247,11
248,6
249,11
250,6
251,11
252,2
253,6
254,2
255,2
256,6
257,2
258,6
259,6
260,2
261,2
262,6
263,6
264,3
265,4
266,11
267,3
268,2
269,3
270,4
271,6
272,3
273,6
274,3
275,2
276,6
277,3
278,4
279,11
280,6
281,4
282,11
283,4
284,6
285,6
286,6
287,6
288,6
289,4
